Addresse,code_postale,departement,Latitude,Longitude,Distance,DurationPoliceMin,MinDistGar,MoyDistGar,train,rer,metro,tramway,Population2017,Densite,Superficie2017,NomMenage,NombreTotalLogement,TauxActive15_64,TauxChomage15_64
Montévrain 77144,77144,77,48.8741286,2.748344,3.138351128529735,0.1725,2.5286663439541894,36.92713794240236,0,1,0,0,6414.5,1324.35,3.9000000000000004,2828.0,3027.0,82.35,9.95
Morainvilliers 78630,78630,78,48.9274749,1.9416886,7.457529826694023,0.27416666666666667,4.448679709556981,36.638290004336234,1,0,0,0,4596.5,406.6,11.25,1662.0,1794.0,76.25,7.8500000000000005
Morangis 91420,91420,91,48.7022956,2.3367599,1.14823234031514,0.043333333333333335,2.1362117105518243,26.364544702820474,0,1,0,0,13729.0,2860.2,4.8,5414.0,5788.0,78.2,10.3
Moret-Loing-et-Orvanne 77250,77250,77,48.3730289,2.8159449,0.37825117765916516,0.05305555555555556,1.0373751509009246,65.75385723012823,1,0,0,0,4558.333333333333,157.13333333333333,20.933333333333334,1936.3333333333333,2216.3333333333335,77.16666666666667,8.700000000000001
Moret-sur-Loing 77250,77250,77,48.3632957,2.8134927000000003,1.2613883760317541,0.08027777777777778,2.010759980652128,66.49973320427479,1,0,0,0,4558.333333333333,157.13333333333333,20.933333333333334,1936.3333333333333,2216.3333333333335,77.16666666666667,8.700000000000001
Morigny-Champigny 91150,91150,91,48.4461337,2.1814129,1.6076599153501003,0.0961111111111111,1.9157113540302992,50.608436286776964,0,1,0,0,2267.6,86.47333333333333,12.033333333333335,905.9333333333333,1018.4666666666667,80.00666666666667,7.959999999999998
Mormant 77720,77720,77,48.6066366,2.8904431,18.379565607925652,0.3958333333333333,0.836265373568796,52.69373223230345,1,0,0,0,1219.2,105.82000000000001,14.23,460.8,503.9,79.24000000000001,7.44
Morsang-sur-Orge 91390,91390,91,48.6641415,2.3527728,3.2952489090599606,0.23222222222222222,1.3685429301723961,29.365054285996308,0,1,0,0,20909.0,4762.9,4.4,8388.0,9117.0,77.4,13.1
Morsang-sur-Orge 91390 (Buisson),91390,91,48.66160720000001,2.3518029,3.524025319770015,0.1738888888888889,1.6509534592068427,29.56859645965714,0,1,0,0,20909.0,4762.9,4.4,8388.0,9117.0,77.4,13.1
Morsang-sur-Orge 91390 (Cachin),91390,91,48.6671074,2.3521772000000003,2.9712268784072817,0.18805555555555556,1.0387985321832318,29.123937800087276,0,1,0,0,20909.0,4762.9,4.4,8388.0,9117.0,77.4,13.1
